id	table_id	utterance	context	targetValue
ns-18	112	lahan alami untuk padang rumput sebagian besar ditemukan di Kanada bagian barat, berapa persentase british columbia yang melaporkan jumlah area padang rumput alami pada tahun 2011?	csv/200-csv/112.csv	1385359.0
ns-19	112	lahan alami untuk padang rumput sebagian besar ditemukan di Kanada bagian barat, berapa persentase saskatchewan yang melaporkan jumlah area padang rumput alami pada tahun 2011?	csv/200-csv/112.csv	4816782.0
ns-20	112	berapa proporsi total lahan pertanian di british columbia yang dilaporkan memiliki lahan alami terluas untuk padang rumput?	csv/200-csv/112.csv	53.1
ns-21	112	berapa persentase lahan pertanian di provinsi Atlantik yang dilaporkan sebagai hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	42.3
ns-22	112	berapa persentase lahan pertanian di provinsi Quebec yang dilaporkan sebagai hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	31.6
ns-23	112	berapa persentase lahan pertanian di provinsi ontario yang dilaporkan sebagai hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	12.6
ns-24	112	berapa hektar yang dilaporkan quebec luas hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	1057417.0
ns-25	112	berapa hektar yang dilaporkan saskatchewan luas hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	1009381.0
ns-26	112	berapa hektar yang dilaporkan alberta luas hutan dan lahan basah pada tahun 2011?	csv/200-csv/112.csv	893436.0
ns-27	1140	berapa persentase ibu baru yang berada dalam situasi pertama (dengan telur sebelum melahirkan, tahun lahir, atau tahun pasca melahirkan; dan menerima ei pada tahun kelahiran) pada tahun 2012?	csv/200-csv/1140.csv	40.6
ns-28	1140	berapa persentase ibu baru yang berada dalam situasi kedua (dengan tahun sebelum melahirkan, tahun lahir, atau tahun pasca melahirkan; dan menerima ei setelah tahun kelahiran) pada tahun 2012?	csv/200-csv/1140.csv	2.8
ns-29	1140	berapa persentase ibu baru yang mengambil cuti mengasuh anak menurut definisi berbasis telur pada tahun 2012?	csv/200-csv/1140.csv	43.4
ns-30	1140	berapa persentase ibu baru yang menerima tunjangan pada tahun 2012 yang diberikan hak cuti sementara selain cuti orang tua?	csv/200-csv/1140.csv	6.5
ns-31	1140	berapa persentase ibu baru yang menerima tunjangan pada tahun 2012 berhenti dari pekerjaannya sebelum cuti?	csv/200-csv/1140.csv	0,9
ns-32	1140	berapa persentase ibu baru yang menerima tunjangan pada tahun 2012 yang diberikan hak cuti karena alasan selain cuti orang tua dan tidak kembali ke majikan yang sama?	csv/200-csv/1140.csv	2.4
ns-33	1140	berapa persentase ibu baru yang menerima manfaat ei pada tahun 2012 yang tidak diberikan roe sama sekali?	csv/200-csv/1140.csv	10.5
ns-34	115	berapa persentase seluruh lahan pertanian yang dilaporkan memiliki hutan dan lahan basah pada tahun 2011?	csv/200-csv/115.csv	49.9
ns-35	1188	bagaimana perubahan hak pensiun di sektor rumah tangga?	csv/200-csv/1188.csv	55.0
ns-36	1223	menurut angka provinsi dan wilayah, berapa jumlah petugas yang dimiliki per 100.000 penduduk?	csv/200-csv/1223.csv	187.0
ns-37	1277	dalam hal jenis layanan yang dibutuhkan, mana yang paling mungkin dipenuhi?	csv/200-csv/1277.csv	pengobatan
ns-38	1277	jenis kebutuhan manakah yang paling mungkin tidak terpenuhi sepenuhnya?	csv/200-csv/1277.csv	konseling, terapi atau bantuan untuk masalah hubungan pribadi
ns-39	1283	berapa persentase produk dan layanan tersebut yang termasuk dalam keranjang cpi?	csv/200-csv/1283.csv	4.71
ns-40	1308	di antara orang yang meninggal yang melakukan kontak dengan polisi dalam 24 bulan sebelum kematiannya, berapa persentase mereka yang bekerja dalam 5 tahun sebelum overdosis fatal tersebut?	csv/200-csv/1308.csv	20.0
ns-41	1308	di antara orang yang meninggal yang tidak menghubungi polisi dalam 24 bulan sebelum kematiannya, berapa persentase mereka yang bekerja dalam 5 tahun sebelum overdosis fatal tersebut?	csv/200-csv/1308.csv	29.0
ns-42	1308	berapa rata-rata pendapatan total orang yang meninggal yang pernah berhubungan dengan polisi pada tahun terakhir mereka bekerja?	csv/200-csv/1308.csv	15325.0
ns-43	1308	berapa rata-rata pendapatan total orang yang meninggal yang tidak berhubungan dengan polisi selama setahun terakhir mereka bekerja?	csv/200-csv/1308.csv	25207.0
ns-44	1319	Mana yang tumbuh lebih pesat selama tiga tahun ini, produksi ganja kering atau penjualannya?	csv/200-csv/1319.csv	produksi
ns-45	1336	secara total, berapa banyak pelanggaran mengemudi akibat narkoba pada tahun 2019?	csv/200-csv/1336.csv	6453.0
ns-46	1337	berapa persentase peningkatan tingkat penyerangan besar secara nasional (level 2 dan 3) pada tahun 2019 selama lima tahun berturut-turut karena tingginya tingkat penyerangan dengan senjata atau menyebabkan cedera tubuh (level 2)?	csv/200-csv/1337.csv	8.0
ns-47	1340	pada tahun 2019, berapa total pelanggaran narkoba yang dilaporkan polisi?	csv/200-csv/1340.csv	70140.0
ns-48	1340	pada tahun 2019, terdapat lebih dari 70.100 total pelanggaran narkoba yang dilaporkan oleh polisi, berapakah jumlah total pelanggaran narkoba per 100.000 penduduk?	csv/200-csv/1340.csv	187.0
ns-49	1355	Saskatchewan Utara dan Manitoba Utara secara konsisten memiliki tingkat kejahatan dengan kekerasan yang lebih tinggi dibandingkan wilayah-wilayah tersebut untuk laki-laki dan perempuan dari semua kelompok umur utama, berapa kali Saskatchewan Utara memiliki tingkat kejahatan kekerasan tertinggi bagi warga Kanada di wilayah tersebut secara keseluruhan?	csv/200-csv/1355.csv	2.177774
ns-50	1402	berapa persentase siswa cmc penyandang disabilitas yang mengalami perilaku seksual yang tidak diinginkan dalam 12 bulan sebelumnya?	csv/200-csv/1402.csv	46.0
ns-51	1402	berapa persen siswa cmc yang bukan penyandang disabilitas mengalami beberapa bentuk perilaku seksual yang tidak diinginkan dalam 12 bulan sebelumnya?	csv/200-csv/1402.csv	32.0
ns-52	141	berapa persentase perusahaan keuangan dan asuransi serta manajemen yang memiliki tingkat pertumbuhan penutupan tahun-ke-tahun terendah?	csv/200-csv/141.csv	38.9
ns-53	141	berapa persen pertambangan, penggalian, ekstraksi minyak dan gas yang memiliki tingkat pertumbuhan penutupan terendah dari tahun ke tahun?	csv/200-csv/141.csv	47.6
ns-54	1417	berapa dolar layanan makanan dan minuman yang direvisi pada tahun 2015?	csv/200-csv/1417.csv	1100.0
ns-55	1442	dari tahun 1981 hingga 2009, berapa persentase pertumbuhan nilai tambah ekstraksi minyak dan gas per tahun?	csv/200-csv/1442.csv	-2.27
ns-56	1468	berapa persentase tingkat respons ganda untuk bahasa non-resmi dan untuk bahasa Prancis dan Inggris sebagai bahasa ibu?	csv/200-csv/1468.csv	8.2|3.8|3.6
ns-57	1494	berapa penurunan pelanggaran harta benda dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	15
ns-58	1494	bagaimana penurunan pelanggaran administrasi peradilan dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	12
ns-59	1494	berapa penurunan pelanggaran undang-undang federal lainnya dari tahun 2012/2013 hingga 2013/2014?	csv/200-csv/1494.csv	12
ns-60	1494	berapa penurunan pelanggaran kekerasan dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	8
ns-61	1494	berapa penurunan kasus pengganggu perdamaian dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	35
ns-62	1494	berapa penurunan kasus perampokan dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	18
ns-63	1494	berapa penurunan kasus gangguan mengemudi dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	25
ns-64	1494	berapa penurunan pelanggaran kepemilikan narkoba dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	15
ns-65	1494	berapa penurunan tindak pidana narkoba lainnya dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	8
ns-66	1494	berapa penurunan pelanggaran penggunaan senjata dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	7
ns-67	1494	bagaimana perubahan pelanggaran kekerasan seksual dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	8.0
ns-68	1494	bagaimana perubahan tindak pidana pembunuhan dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	6.0
ns-69	1494	bagaimana perubahan pelanggaran kekerasan seksual lainnya dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	5.0
ns-70	1494	bagaimana perubahan tindak pidana pelecehan dari tahun 2012/2013 ke tahun 2013/2014?	csv/200-csv/1494.csv	3.0
ns-71	1494	jenis pelanggaran apa yang paling lama diselesaikan pada tahun 2013/2014?	csv/200-csv/1494.csv	pembunuhan
ns-72	1494	berapakah median jangka waktu penyelesaian kasus pembunuhan pada tahun 2012/2013?	csv/200-csv/1494.csv	448.0
ns-73	1494	berapa median jangka waktu penyelesaian kasus kekerasan seksual pada tahun 2013/2014?	csv/200-csv/1494.csv	256.0
ns-74	1494	berapakah median jangka waktu penyelesaian kasus percobaan pembunuhan pada tahun 2013/2014?	csv/200-csv/1494.csv	248.0
ns-75	1496	berapa persentase kasus prosesi narkoba yang menghasilkan temuan bersalah?	csv/200-csv/1496.csv	28.0
ns-76	1516	berapa jumlah belanja konsumsi final pemerintah yang direvisi turun pada tahun 2013?	csv/200-csv/1516.csv	3784
ns-77	1516	berapa jumlah belanja konsumsi final pemerintah yang direvisi turun pada tahun 2015?	csv/200-csv/1516.csv	2118
ns-78	1516	berapa jumlah pembentukan modal tetap bruto bisnis yang direvisi naik untuk tahun 2014?	csv/200-csv/1516.csv	14330.0
ns-79	1516	berapa jumlah pembentukan modal tetap bruto bisnis yang direvisi naik untuk tahun 2015?	csv/200-csv/1516.csv	11293.0
ns-80	1516	berapa jumlah perkiraan pembentukan modal tetap bruto pemerintah yang direvisi ke bawah untuk tahun 2014?	csv/200-csv/1516.csv	4472
ns-81	1516	berapa jumlah perkiraan pembentukan modal tetap bruto pemerintah yang direvisi ke bawah untuk tahun 2015?	csv/200-csv/1516.csv	3015
ns-82	1516	berapa jumlah estimasi persediaan bisnis yang direvisi ke bawah untuk tahun 2015?	csv/200-csv/1516.csv	3347
ns-83	1516	berapa jumlah ekspor yang direvisi turun untuk tahun 2013?	csv/200-csv/1516.csv	724
ns-84	1516	berapa jumlah ekspor yang direvisi naik untuk tahun 2014?	csv/200-csv/1516.csv	1686.0
ns-85	1516	berapa jumlah ekspor yang direvisi naik untuk tahun 2015?	csv/200-csv/1516.csv	1803.0
ns-86	1516	berapa jumlah impor yang direvisi naik untuk tahun 2014?	csv/200-csv/1516.csv	3346.0
ns-87	1516	berapa jumlah impor yang direvisi naik untuk tahun 2015?	csv/200-csv/1516.csv	3451.0
ns-88	1525	berapa persentase perempuan berusia 15 hingga 24 tahun yang aktif secara seksual yang dilaporkan telah menggunakan EC dalam 12 bulan terakhir?	csv/200-csv/1525.csv	10.6
ns-89	1534	berapa persentase pekerja terampil laki-laki yang merupakan lulusan universitas (sarjana atau lebih)?	csv/200-csv/1534.csv	73.2
ns-90	1534	berapa persentase pekerja terampil perempuan yang merupakan lulusan universitas (sarjana atau lebih)?	csv/200-csv/1534.csv	65.7
ns-91	1534	berapa persentase pengasuh laki-laki yang tinggal serumah dengan mereka yang melaporkan memiliki pengetahuan bahasa Inggris dan/atau Perancis?	csv/200-csv/1534.csv	94.5
ns-92	1534	berapa persentase ecpa laki-laki yang berasal dari asia timur?	csv/200-csv/1534.csv	30.9
ns-93	1534	berapa persentase ecpa laki-laki yang berasal dari asia selatan?	csv/200-csv/1534.csv	19.1
ns-94	1534	berapa persentase ecpa laki-laki yang berasal dari asia barat daya dan afrika?	csv/200-csv/1534.csv	12.5
ns-95	1534	berapa persentase ecpa perempuan yang berasal dari asia tenggara?	csv/200-csv/1534.csv	31.3
ns-96	1534	berapa persentase ecpa perempuan yang berasal dari asia timur?	csv/200-csv/1534.csv	24.6
ns-97	1534	berapa persentase ecpa perempuan yang berasal dari eropa timur?	csv/200-csv/1534.csv	10.4
ns-98	1569	pada tahun 2012, berapa persen perempuan Aborigin berusia 15 tahun ke atas melaporkan adanya disabilitas yang membatasi aktivitas sehari-hari mereka?	csv/200-csv/1569.csv	22
ns-99	1569	pada tahun 2012, berapa persen laki-laki Aborigin berusia 15 tahun ke atas melaporkan adanya disabilitas yang membatasi aktivitas sehari-hari mereka?	csv/200-csv/1569.csv	14.6
ns-100	1569	Berapa kali perempuan Aborigin berusia 15 tahun ke atas lebih mungkin melaporkan disabilitas dibandingkan perempuan non-Aborigin?	csv/200-csv/1569.csv	1.496599
ns-101	1569	Berapa kali laki-laki Aborigin berusia 15 tahun ke atas lebih mungkin melaporkan disabilitas dibandingkan laki-laki non-Aborigin?	csv/200-csv/1569.csv	1.168
ns-102	1569	Berapa kali perempuan Aborigin berusia 25 hingga 54 tahun lebih mungkin melaporkan disabilitas dibandingkan perempuan non-Aborigin?	csv/200-csv/1569.csv	2.340659
ns-103	1569	Berapa kali perempuan Aborigin berusia 55 hingga 64 tahun lebih mungkin melaporkan disabilitas dibandingkan perempuan non-Aborigin?	csv/200-csv/1569.csv	1.629808
ns-104	1569	Berapa kali perempuan Aborigin berusia 65 tahun ke atas lebih mungkin melaporkan disabilitas dibandingkan perempuan non-Aborigin?	csv/200-csv/1569.csv	1.525714
ns-105	1569	di antara mereka yang berusia 15 hingga 24 tahun, siapa yang lebih mungkin menyandang disabilitas, laki-laki aborigin atau laki-laki non-aborigin?	csv/200-csv/1569.csv	14.6
ns-106	1569	Berapa kali laki-laki Aborigin berusia 15 hingga 24 tahun lebih mungkin melaporkan disabilitas dibandingkan laki-laki non-Aborigin?	csv/200-csv/1569.csv	1.590909
ns-107	1569	Berapa kali laki-laki Aborigin berusia 25 hingga 54 tahun lebih mungkin melaporkan disabilitas dibandingkan laki-laki non-Aborigin?	csv/200-csv/1569.csv	1.493827
ns-108	1569	Berapa kali perempuan Aborigin berusia 15 tahun ke atas lebih mungkin melaporkan disabilitas dibandingkan perempuan non-Aborigin?	csv/200-csv/1569.csv	1.496599
ns-109	1569	Berapa kali perempuan Aborigin berusia 15 tahun ke atas lebih mungkin melaporkan disabilitas dibandingkan laki-laki non-Aborigin pada usia yang sama?	csv/200-csv/1569.csv	1.176
ns-110	1602	apa perbedaan antara tingkat pekerjaan orang yang berpasangan dan yang tidak berpasangan di kalangan penduduk asli?	csv/200-csv/1602.csv	17.3
ns-111	1602	apa perbedaan antara tingkat pekerjaan orang yang berpasangan dan yang tidak berpasangan di kalangan penduduk non-aborigin?	csv/200-csv/1602.csv	7.1
ns-112	1602	dengan menggunakan tingkat lapangan kerja sebagai contoh, berapa persentase penduduk asli berpasangan yang bekerja pada tahun 2015?	csv/200-csv/1602.csv	75.1
ns-113	1602	dengan menggunakan tingkat lapangan kerja sebagai contoh, berapa persentase orang non-aborigin berpasangan yang bekerja pada tahun 2015?	csv/200-csv/1602.csv	84.0
ns-114	1602	dengan menggunakan tingkat pekerjaan sebagai contoh, 75,1% penduduk asli yang berpasangan bekerja pada tahun 2015, begitu pula 84,0% penduduk non-penduduk asli, apa perbedaan dari kedua jenis pekerjaan ini?	csv/200-csv/1602.csv	8.9
ns-115	1602	dari penduduk asli yang tidak berpasangan, berapa persen yang bekerja?	csv/200-csv/1602.csv	57.8
ns-116	1602	dari penduduk non-aborigin yang tidak berpasangan, berapa persen yang bekerja?	csv/200-csv/1602.csv	76.9
ns-117	1602	dari penduduk asli yang tidak berpasangan, 57,8% bekerja, dibandingkan dengan 76,9% penduduk non-penduduk asli, apa perbedaannya?	csv/200-csv/1602.csv	19.1
ns-118	1626	berapa persentase perempuan dan laki-laki lanjut usia yang tinggal di rumah tangga pribadi yang menilai kesehatan mental mereka positif dalam survei kesehatan masyarakat Kanada tahun 2013-2014.	csv/200-csv/1626.csv	94.3
ns-119	1626	berapa persentase wanita berusia 85 tahun ke atas yang menilai kesehatan mental mereka “sangat baik”.	csv/200-csv/1626.csv	24.4
ns-120	1650	secara keseluruhan, berapa persentase orang dewasa yang memiliki kesehatan mental yang baik?	csv/200-csv/1650.csv	76.6
ns-121	1650	tipe orang manakah yang secara signifikan lebih kecil kemungkinannya untuk masuk dalam kategori ini, yaitu mereka yang menderita nyeri kronis atau mereka yang bebas dari nyeri kronis?	csv/200-csv/1650.csv	Ya
ns-122	1653	gender mana yang lebih mungkin melaporkan bahwa mereka menerima semacam dukungan untuk pengasuhan?	csv/200-csv/1653.csv	perempuan
ns-123	1653	berapa persentase perempuan yang dilaporkan menerima dukungan sosial untuk pengasuhan?	csv/200-csv/1653.csv	69.0
ns-124	1653	berapa persentase laki-laki yang dilaporkan menerima dukungan sosial untuk pengasuhan?	csv/200-csv/1653.csv	65.0
ns-125	1653	berapa proporsi perempuan yang dilaporkan menerima bantuan keuangan?	csv/200-csv/1653.csv	22.0
ns-126	1653	berapa proporsi laki-laki yang dilaporkan menerima bantuan keuangan?	csv/200-csv/1653.csv	23.0
ns-127	1653	berapa persentase pengasuh di rumah tangga yang hanya beranggotakan satu orang yang melaporkan adanya bentuk dukungan?	csv/200-csv/1653.csv	58.0
ns-128	1653	berapa persenkah persentase rekan mereka dalam rumah tangga yang beranggotakan lima orang atau lebih?	csv/200-csv/1653.csv	80.0
ns-129	1653	berapa persen pengasuh di rumah tangga yang total pendapatan rumah tangganya antara $40.000 dan $60.000 dilaporkan menerima dukungan keuangan untuk pengasuhan?	csv/200-csv/1653.csv	24.0
ns-130	1723	berapa proporsi pekerja di sektor bantuan tunawisma yang berada dalam rumah tangga dengan keluarga sensus menikah atau pasangan ipar?	csv/200-csv/1723.csv	56.1
ns-131	1723	berapa proporsi pekerja sosial yang dilaporkan bahwa mereka berada dalam rumah tangga yang sudah menikah atau berdasarkan sensus keluarga?	csv/200-csv/1723.csv	67.8
ns-132	1723	berapa proporsi pekerja layanan sosial dan masyarakat yang dilaporkan bahwa mereka berada dalam rumah tangga yang sudah menikah atau keluarga yang melakukan sensus secara hukum adat?	csv/200-csv/1723.csv	61.6
ns-133	1723	berapa proporsi pekerja sektor bantuan tunawisma yang dilaporkan tinggal di rumah tangga keluarga dengan orang tua tunggal berdasarkan sensus?	csv/200-csv/1723.csv	14.5
ns-134	1723	berapa proporsi seluruh pekerja yang dilaporkan tinggal di rumah tangga keluarga dengan orang tua tunggal yang disensus?	csv/200-csv/1723.csv	10.0
ns-135	1723	berapa proporsi pekerja sektor pendukung tunawisma yang merupakan perempuan orang tua tunggal?	csv/200-csv/1723.csv	13.2
ns-136	1723	berapa proporsi seluruh pekerja yang merupakan orang tua tunggal perempuan?	csv/200-csv/1723.csv	6.1
ns-137	1723	berapa proporsi pekerja sosial dan layanan masyarakat yang merupakan orang tua tunggal?	csv/200-csv/1723.csv	14.3
ns-138	1723	berapa proporsi pekerja sosial yang menjadi orang tua tunggal?	csv/200-csv/1723.csv	11.4
ns-139	1723	berapa proporsi pekerja sektor bantuan tunawisma yang dilaporkan sebagai orang tua tunggal?	csv/200-csv/1723.csv	14.5
ns-140	1723	berapa proporsi pekerja sektor bantuan tuna wisma yang dilaporkan tinggal di rumah keluarga yang tidak melakukan sensus?	csv/200-csv/1723.csv	25.8
ns-141	1723	berapa proporsi seluruh pekerja yang dilaporkan tinggal di rumah tangga keluarga yang tidak melakukan sensus?	csv/200-csv/1723.csv	16.4
ns-142	1723	berapa proporsi pekerja sosial yang dilaporkan tinggal di rumah tangga keluarga non-sensus?	csv/200-csv/1723.csv	17.9
ns-143	1723	berapa proporsi pekerja layanan sosial dan masyarakat yang dilaporkan tinggal di rumah keluarga yang tidak melakukan sensus?	csv/200-csv/1723.csv	19.9
ns-144	1771	berapa persen penduduk inuit yang tidak menggunakan inuktut sebagai bahasa ibu mereka, tidak adanya penularan inuktut sebagai bahasa ibu merupakan faktor yang berdampak negatif terhadap vitalitas linguistik?	csv/200-csv/1771.csv	-23.4
ns-145	1771	di nunavut pada tahun 2016, berapa banyak inuit dengan bahasa ibu inuktut yang tidak pernah berbicara bahasa ibu di rumah?	csv/200-csv/1771.csv	630
ns-146	1771	di nunavut pada tahun 2016, berapa persen populasi inuit (faktor negatif sebesar 2,1 poin persentase)?	csv/200-csv/1771.csv	2.1
ns-147	1771	jika kita menambahkan non-transmisi bahasa ibu dan alih bahasa secara penuh, total faktor devitalisasi linguistik adalah -25,5 poin persentase, atau hanya seperempat populasi inuit di nunavut?	csv/200-csv/1771.csv	-25.5
ns-148	1771	berapa banyak inuit yang telah melakukan transfer bahasa secara lengkap?	csv/200-csv/1771.csv	630
ns-149	1771	dari 630 inuit yang telah melakukan transfer bahasa secara lengkap, berapa inuit yang masih dapat melakukan percakapan dalam inuktut?	csv/200-csv/1771.csv	475.0
ns-150	1771	berapa poin persentase yang melakukan percakapan di inuktut?	csv/200-csv/1771.csv	1.6
ns-151	1771	berapa banyak orang inuit yang menggunakan inuktut di rumah meskipun itu bukan bahasa ibu mereka?	csv/200-csv/1771.csv	3445.0
ns-152	1771	transfer bahasa ini menuju inuktut, bahkan sebagian, berapa poin persentase yang merupakan faktor positif bagi vitalitas linguistik?	csv/200-csv/1771.csv	11.4
ns-153	1771	berapa banyak orang inuit yang mempelajari inuktut sebagai bahasa kedua?	csv/200-csv/1771.csv	450.0
ns-154	1771	berapa poin persentase yang disumbangkan oleh penutur bahasa kedua ini terhadap vitalitas inuktut, karena mereka dapat menggunakan bahasa tersebut di luar rumah?	csv/200-csv/1771.csv	1.5
ns-155	1771	berapa poin persentase faktor-faktor ini memitigasi dampak faktor-faktor negatif?	csv/200-csv/1771.csv	14.5
ns-156	1787	Berapa kali orang Aborigin lebih mungkin melaporkan bahwa mereka pernah menjadi tunawisma atau harus tinggal bersama seseorang untuk sementara waktu dibandingkan dengan orang non-Aborigin?	csv/200-csv/1787.csv	2.5
ns-157	1787	Berapa kali masyarakat Aborigin lebih mungkin melaporkan penggunaan narkoba selama sebulan sebelum survei dibandingkan masyarakat non-Aborigin?	csv/200-csv/1787.csv	2.285714
ns-158	1787	Berapa kali orang Aborigin lebih mungkin melaporkan kesehatan mental yang baik atau buruk dibandingkan orang non-Aborigin?	csv/200-csv/1787.csv	2
ns-159	1787	Berapa kali orang-orang Aborigin lebih mungkin merasakan adanya kekacauan sosial di lingkungan mereka dibandingkan dengan orang-orang non-Aborigin?	csv/200-csv/1787.csv	1.454545
ns-160	1787	Berapa kali penduduk Aborigin lebih besar kemungkinannya untuk menyandang disabilitas dibandingkan penduduk non-Aborigin?	csv/200-csv/1787.csv	1.333333
ns-161	1787	berapa kali orang Aborigin lebih mungkin berpartisipasi dalam lebih dari 20 kegiatan malam per bulan dibandingkan orang non-Aborigin?	csv/200-csv/1787.csv	1.333333
ns-162	1787	Berapa kali masyarakat Aborigin lebih mungkin melakukan pesta minuman keras selama sebulan sebelum survei dibandingkan dengan masyarakat non-Aborigin?	csv/200-csv/1787.csv	1.153846
ns-163	1799	berapa peningkatan jumlah pembunuhan terkait senjata api dari tahun 2014 di alberta, saskatchewan, manitoba, dan ontario?	csv/200-csv/1799.csv	13|7|3|3
ns-164	1820	berapakah persentase lansia yang melaporkan kesehatannya sangat baik atau sangat baik dan melakukan pekerjaan rumah tangga tidak berbayar, dan lansia yang melaporkan kesehatannya baik atau buruk?	csv/200-csv/1820.csv	89.0|84.0
ns-165	1820	berapa rata-rata waktu yang dihabiskan untuk pekerjaan tidak berbayar bagi mereka yang melaporkan kesehatannya baik atau buruk dan bagi mereka yang memiliki kesehatan sangat baik atau sangat baik?	csv/200-csv/1820.csv	2.9|3.4
ns-166	1820	di antara mereka yang menonton televisi, berapa jam rata-rata waktu yang dihabiskan oleh mereka yang melaporkan kesehatannya cukup atau buruk dibandingkan mereka yang melaporkan kesehatannya sangat baik atau sangat baik?	csv/200-csv/1820.csv	1.2
ns-167	1837	berapa poin persentase yang diperoleh Kanada-AS. perbedaan pertumbuhan upah bagi laki-laki yang bekerja di sektor manufaktur dari tahun 2000 hingga 2017?	csv/200-csv/1837.csv	1.8
ns-168	1852	berapa tingkat partisipasi pada tahun 2007?	csv/200-csv/1852.csv	67.4
ns-169	1852	berapakah tingkat partisipasi pada tahun 2016 jika struktur umurnya sama dengan tahun 2007?	csv/200-csv/1852.csv	68.3
ns-170	1852	jika struktur umur pada tahun 2016 sama dengan tahun 2007, tahun manakah yang tingkat partisipasinya lebih tinggi?	csv/200-csv/1852.csv	dengan struktur umur 2007 saja
ns-171	1852	seberapa besar penurunan tingkat partisipasi dari tahun 2007 ke tahun 2016?	csv/200-csv/1852.csv	1.7
ns-172	1902	berapa persen wanita berusia 15 tahun ke atas di negara off-reserve yang didiagnosis menderita radang sendi?	csv/200-csv/1902.csv	23.4
