kharakteristik,provinsi kelahiran bayi kanada ptb%,provinsi kelahiran bayi kanada 95% lci,provinsi kelahiran bayi kanada 95% uci,provinsi kelahiran bayi british columbia ptb%,provinsi kelahiran bayi british columbia 95% lci,provinsi kelahiran bayi british columbia 95% uci,provinsi kelahiran bayi alberta ptb %,provinsi kelahiran bayi alberta 95% lci,provinsi kelahiran bayi alberta 95% uci,provinsi kelahiran bayi saskatchewan ptb %,provinsi kelahiran bayi saskatchewan 95% lci,provinsi kelahiran bayi saskatchewan 95% uci,provinsi kelahiran bayi manitoba ptb %,provinsi kelahiran bayi manitoba 95% lci,provinsi kelahiran bayi manitoba 95% uci,provinsi kelahiran bayi ontario ptb%,provinsi kelahiran bayi ontario 95% lci,provinsi kelahiran bayi ontario 95% uci,provinsi kelahiran bayi quebec ptb%,provinsi kelahiran bayi quebec 95% lci,provinsi kelahiran bayi quebec 95% uci,provinsi kelahiran bayi atlantic canada ptb%,provinsi kelahiran bayi atlantic canada 95% lci,provinsi kelahiran bayi atlantic canada 95% uci
asia barat dan tengah,1.15,1.09,1.21,1.06,0.94,1.18,1.3,1.16,1.46,1.45,1.04,2.02,0.94,0.71,1.24,1.12,1.04,1.21,1.23,1.07,1.42,1.24,0.78,1.98
Afrika Utara,0.79,0.77,0.81,0.81,0.72,0.91,0.84,0.77,0.9,0.92,0.7,1.19,0.57,0.47,0.69,0.8,0.77,0.84,0.76,0.71,0.82,0.87,0.73,1.03
Afrika Sub-Sahara,0.69,0.67,0.72,0.79,0.63,0.98,0.82,0.74,0.91,0.83,0.59,1.16,0.7,0.53,0.92,0.71,0.66,0.77,0.7,0.67,0.73,0.76,0.56,1.03
Karibia,0.98,0.95,1.0,0.93,0.84,1.03,0.95,0.9,1.01,0.87,0.72,1.05,0.94,0.83,1.06,0.99,0.95,1.02,1.0,0.95,1.07,1.05,0.85,1.31
Amerika Tengah,1.39,1.35,1.42,1.12,0.91,1.37,1.42,1.25,1.61,0.98,0.56,1.71,1.26,0.95,1.66,1.42,1.37,1.46,1.48,1.41,1.55,1.04,0.7,1.55
Amerika Selatan,0.93,0.9,0.96,1.01,0.91,1.12,0.93,0.87,1.0,1.13,0.85,1.49,0.71,0.62,0.81,0.88,0.84,0.93,1.13,1.04,1.23,0.7,0.47,1.04
Amerika Serikat,1.03,1.0,1.06,0.87,0.77,0.99,0.94,0.85,1.03,0.81,0.56,1.18,0.69,0.58,0.82,1.15,1.11,1.2,0.92,0.85,0.99,0.98,0.69,1.39
Eropa Timur,0.82,0.8,0.85,0.8,0.74,0.87,0.79,0.73,0.87,0.78,0.63,0.97,0.74,0.62,0.88,0.86,0.81,0.91,0.84,0.75,0.94,0.83,0.72,0.96
Inggris Raya,0.81,0.79,0.84,0.72,0.66,0.79,0.85,0.78,0.93,0.88,0.7,1.12,0.67,0.58,0.78,0.83,0.8,0.87,0.87,0.8,0.93,0.95,0.71,1.26
sisa Eropa Barat,0.91,0.88,0.95,0.88,0.81,0.96,0.93,0.84,1.02,0.63,0.44,0.92,0.59,0.45,0.78,0.97,0.92,1.03,0.69,0.54,0.88,0.81,0.64,1.02
seluruh dunia,0.78,0.75,0.8,0.77,0.71,0.84,0.83,0.77,0.9,0.76,0.58,0.98,0.74,0.64,0.87,0.81,0.78,0.85,0.7,0.66,0.75,0.89,0.74,1.06
None,1.18,1.11,1.25,1.31,1.19,1.43,1.18,1.03,1.34,0.94,0.54,1.65,0.5,0.24,1.07,1.03,0.9,1.18,0.96,0.72,1.28,1.66,1.18,2.35
