kharakteristik,provinsi kelahiran bayi kanada berarti bw,provinsi kelahiran bayi kanada 95% lci,provinsi kelahiran bayi kanada 95% uci,provinsi kelahiran bayi british columbia berarti bw,provinsi kelahiran bayi british columbia 95% lci,provinsi kelahiran bayi british columbia 95% uci,provinsi kelahiran bayi alberta berarti bw,provinsi kelahiran bayi alberta 95% lci,provinsi kelahiran bayi alberta 95% uci,provinsi kelahiran bayi saskatchewan berarti bw,provinsi kelahiran bayi saskatchewan 95% lci,provinsi kelahiran bayi saskatchewan 95% uci,provinsi kelahiran bayi manitoba berarti bw,provinsi kelahiran bayi manitoba 95% lci,provinsi kelahiran bayi manitoba 95% uci,provinsi kelahiran bayi ontario berarti bw,provinsi kelahiran bayi ontario 95% lci,provinsi kelahiran bayi ontario 95% uci,provinsi kelahiran bayi quebec berarti bw,provinsi kelahiran bayi quebec 95% lci,provinsi kelahiran bayi quebec 95% uci,provinsi kelahiran bayi atlantic canada berarti bw,provinsi kelahiran bayi atlantic canada 95% lci,provinsi kelahiran bayi atlantic canada 95% uci
Afrika Utara,-98.0,-102.0,-94.0,-129.0,-143.0,-114.0,-103.0,-113.0,-92.0,-160.0,-196.0,-124.0,-32.0,-55.0,-9.0,-112.0,-116.0,-107.0,-37.0,-45.0,-29.0,-198.0,-220.0,-175.0
Afrika Sub-Sahara,-47.0,-51.0,-43.0,-83.0,-109.0,-56.0,-130.0,-143.0,-117.0,-125.0,-169.0,-81.0,-132.0,-170.0,-95.0,-107.0,-116.0,-98.0,28.0,23.0,32.0,-83.0,-121.0,-45.0
Karibia,-92.0,-96.0,-89.0,-109.0,-122.0,-96.0,-88.0,-96.0,-80.0,-132.0,-159.0,-106.0,-117.0,-136.0,-99.0,-108.0,-113.0,-103.0,-33.0,-41.0,-25.0,-67.0,-100.0,-35.0
Amerika Tengah,-127.0,-132.0,-123.0,-96.0,-126.0,-67.0,-122.0,-144.0,-100.0,-163.0,-241.0,-85.0,-154.0,-203.0,-105.0,-149.0,-154.0,-143.0,-65.0,-72.0,-58.0,-99.0,-160.0,-39.0
Amerika Selatan,-35.0,-40.0,-31.0,-92.0,-106.0,-78.0,-25.0,-36.0,-14.0,-136.0,-179.0,-94.0,-1.0,-18.0,16.0,-37.0,-44.0,-30.0,-36.0,-48.0,-25.0,58.0,10.0,106.0
Amerika Serikat,-97.0,-102.0,-93.0,-79.0,-95.0,-63.0,-45.0,-58.0,-32.0,-110.0,-158.0,-61.0,-59.0,-82.0,-36.0,-139.0,-144.0,-133.0,-15.0,-25.0,-6.0,-134.0,-183.0,-85.0
Eropa Timur,4.0,0.0,9.0,5.0,-6.0,15.0,9.0,-3.0,20.0,3.0,-24.0,30.0,8.0,-15.0,32.0,-13.0,-20.0,-6.0,-1.0,-14.0,13.0,-14.0,-32.0,5.0
Inggris Raya,-26.0,-30.0,-22.0,-40.0,-51.0,-29.0,-48.0,-59.0,-37.0,-48.0,-79.0,-17.0,9.0,-10.0,29.0,-37.0,-42.0,-32.0,11.0,3.0,20.0,-66.0,-106.0,-27.0
sisa Eropa Barat,-25.0,-31.0,-20.0,-35.0,-46.0,-24.0,-17.0,-30.0,-4.0,-62.0,-107.0,-17.0,-44.0,-78.0,-9.0,-43.0,-50.0,-35.0,-29.0,-56.0,-3.0,-14.0,-45.0,17.0
seluruh dunia,-25.0,-29.0,-22.0,-21.0,-31.0,-11.0,0.0,-11.0,10.0,-44.0,-77.0,-11.0,-38.0,-59.0,-16.0,-26.0,-31.0,-21.0,-38.0,-45.0,-30.0,-22.0,-46.0,3.0
None,-87.0,-97.0,-78.0,-145.0,-159.0,-131.0,-93.0,-114.0,-72.0,-39.0,-120.0,42.0,-118.0,-212.0,-23.0,-40.0,-59.0,-21.0,-61.0,-97.0,-25.0,-29.0,-92.0,33.0
